"Date","S. Agnese","S. Agostin","S. Angelo","Angelo Rafael","S. Antonino","S. Aponal","S. Barnaba","S. Basilio","S. Basso","S. Beneto","S. Biagio","S. Boldo","S. Bartolomeo","S. Canziano","S. Cassiano","S. Croce","S. Eufemia","S. Fantin","S. Felice","S. Fosca","S. Geremia","S. Giacomo dell'Orio","S. Giovanni Decollato","S. Giovanni di Rialto","S. Giovanni Crisostomo","S. Giovanni Battista in Bragora","S. Giovanni Novo","S. Giustina","S. Gregorio","S. Lio","S. Luca","S. Lucia","S. Leonardo","S. Marcilian","S. Marco","S. Marcuola","S. Margherita","S. Maria Formosa","S. Maria Maddalena","S. Maria Mater Domini","S. Maria Nova","S. Maria Zobenigo","S. Marina","S. Martino","S. Mattio","S. Maurizio","S. Moisé","S. Nicola","S. Pantalon","S. Paternian","S. Pietro di Castello","S. Polo","S. Provolo","S. Salvador","S. Samuele","S. Severo","S. Silvestro","S. Simon Grande","S. Simon Piccolo","S. Sofia","S. Stae","S. Stin","S. Ternita","S. Tomà","S. Trovaso","S. Vidal","S. Vio","S. Ziminian","S. Zulian","S. Apostoli"
"2/13/2029",,0,0,0,,1,0,0,0,,0,,0,0,,0,0,,0,0,0,0,,0,0,1,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,2,0,0,2,0,,,0,,0,0,,0,,0,,,0,0,,2,0,0
"2/14/2029",,0,0,1,,0,0,1,1,,0,,0,0,,0,0,,0,0,2,1,,0,0,0,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,2,1,0,0,2,,,0,,0,0,,0,,0,,,0,1,,0,1,2
"2/15/2029",,0,0,2,,0,0,0,0,,0,,0,1,,1,0,,0,0,0,1,,0,0,1,0,,,0,0,,0,,1,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,,1,,0,1,,1,,0,,,0,0,,0,0,0
"2/16/2029",,0,0,1,,1,0,0,0,,0,,0,0,,0,0,,0,0,1,0,,0,0,0,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,3,,0,0,,0,,0,,,0,0,,1,0,0
"2/17/2029",,0,2,0,,1,0,0,1,,0,,0,0,,0,1,,0,0,0,0,,0,0,0,0,,,0,0,,0,,2,,0,0,1,,0,0,0,,0,1,0,1,0,0,0,0,,,4,,0,0,,1,,0,,,0,1,,0,0,0
"2/18/2029",,0,0,0,,0,0,0,0,,0,,0,0,,0,0,,0,0,3,0,,0,0,0,0,,,0,0,,1,,0,,0,1,1,,0,0,0,,0,0,2,1,2,0,0,0,,,1,,1,0,,0,,0,,,0,0,,1,0,1
"2/19/2029",,0,0,1,,0,0,0,0,,0,,0,0,,0,1,,0,0,0,0,,0,0,0,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,0,2,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,0,0
"2/20/2029",,0,0,1,,0,0,0,0,,0,,0,1,,0,3,,0,0,2,0,,0,0,2,1,,,0,0,,0,,1,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,,0,,0,1,,0,,1,,,0,0,,0,1,0
"2/21/2029",,0,0,0,,0,0,0,0,,0,,0,1,,0,0,,0,0,2,0,,0,0,1,0,,,0,1,,0,,1,,0,0,0,,0,0,0,,0,0,1,0,0,1,1,1,,,0,,0,0,,0,,1,,,0,0,,0,3,3
"2/22/2029",,0,0,1,,0,0,0,0,,0,,0,0,,0,0,,0,0,1,0,,0,0,0,0,,,0,1,,0,,1,,0,0,0,,0,0,0,,0,0,0,2,0,0,1,0,,,1,,0,1,,0,,0,,,0,0,,0,0,0
"2/23/2029",,0,0,0,,0,0,0,0,,0,,0,1,,0,0,,0,0,2,0,,0,0,0,0,,,0,2,,0,,0,,0,0,0,,0,0,0,,1,0,0,1,1,0,4,0,,,0,,0,0,,0,,0,,,1,0,,0,0,0
"2/24/2029",,0,1,0,,1,0,0,0,,0,,0,2,,0,0,,0,0,0,0,,0,0,0,0,,,0,0,,0,,0,,0,1,0,,0,0,1,,0,0,0,4,0,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,1,1
"2/25/2029",,0,1,0,,0,0,1,0,,0,,0,1,,0,1,,0,0,2,0,,1,0,0,1,,,0,1,,1,,0,,0,0,0,,0,0,0,,0,0,0,0,0,1,1,0,,,0,,0,0,,0,,0,,,0,0,,1,0,0
"2/26/2029",,0,0,0,,0,0,2,0,,0,,0,0,,0,2,,0,0,2,0,,0,0,1,0,,,0,0,,0,,0,,0,1,0,,0,0,0,,0,0,0,2,0,0,2,0,,,1,,0,0,,0,,1,,,2,0,,2,0,0
"2/27/2029",,0,0,0,,0,1,0,0,,0,,1,1,,0,0,,0,0,1,0,,0,0,1,0,,,0,0,,0,,0,,0,1,0,,0,0,2,,0,0,1,1,0,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,0,3
"2/28/2029",,0,0,0,,0,0,0,0,,2,,0,1,,0,0,,0,0,1,0,,0,0,0,0,,,0,0,,0,,0,,1,0,1,,0,0,0,,0,0,1,2,0,0,1,0,,,0,,0,0,,0,,0,,,0,0,,0,0,0
"3/1/2029",,0,0,1,,0,0,0,0,,0,,0,0,,0,0,,1,1,1,0,,0,0,1,1,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,2,1,0,0,1,,,0,,0,0,,1,,0,,,0,0,,0,0,0
"3/2/2029",,0,0,0,,1,0,0,0,,0,,0,0,,1,2,,0,0,0,0,,0,0,0,0,,,1,1,,0,,0,,0,0,0,,0,0,0,,1,0,0,0,0,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,0,2
"3/3/2029",,0,0,1,,1,0,0,0,,0,,0,2,,0,1,,0,0,1,0,,1,0,1,0,,,0,0,,0,,0,,1,2,0,,0,0,0,,0,0,1,2,0,0,0,0,,,0,,0,0,,1,,0,,,0,0,,0,1,0
"3/4/2029",,0,0,1,,0,1,0,0,,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,,,0,1,,0,,2,,0,0,0,,0,1,0,,0,0,0,0,1,0,0,0,,,0,,0,0,,1,,1,,,0,0,,1,1,0
"3/5/2029",,0,3,1,,0,0,0,0,,0,,0,0,,0,1,,0,0,1,0,,0,0,0,0,,,1,0,,0,,1,,0,2,1,,1,0,0,,0,0,2,2,0,0,0,1,,,1,,0,0,,0,,0,,,0,0,,0,0,0
"3/6/2029",,0,0,0,,0,0,0,0,,0,,0,0,,1,0,,0,0,2,0,,0,0,1,0,,,0,1,,1,,0,,1,0,0,,1,0,0,,0,0,0,0,4,0,0,2,,,0,,0,0,,0,,0,,,2,0,,0,0,0
"3/7/2029",,0,0,0,,0,1,1,0,,0,,1,1,,0,0,,0,0,0,0,,0,1,0,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,,0,,0,2,,0,,0,,,1,0,,0,1,1
"3/8/2029",,0,1,0,,2,0,1,0,,0,,0,0,,0,0,,0,0,0,0,,0,0,0,0,,,0,0,,0,,0,,1,0,0,,0,0,0,,0,0,0,0,1,0,0,0,,,0,,0,1,,1,,0,,,0,0,,0,1,0
"3/9/2029",,0,0,1,,0,0,0,1,,0,,0,1,,0,0,,0,0,0,0,,0,0,0,0,,,0,1,,0,,1,,0,2,0,,0,0,0,,0,0,0,1,0,0,0,0,,,0,,0,2,,0,,0,,,0,0,,0,0,0
"3/10/2029",,0,0,0,,0,0,0,0,,0,,0,0,,1,1,,0,0,0,1,,0,0,1,0,,,0,0,,0,,0,,0,0,0,,0,1,0,,0,0,0,0,0,1,0,0,,,1,,0,0,,0,,0,,,0,0,,0,2,2
"3/11/2029",,0,0,2,,1,0,1,0,,0,,0,0,,0,0,,0,0,2,0,,0,1,1,0,,,0,1,,0,,1,,0,0,0,,1,0,1,,0,0,0,1,0,0,0,0,,,0,,0,0,,1,,0,,,0,0,,0,0,0
"3/12/2029",,0,1,1,,0,0,1,0,,0,,0,0,,1,0,,0,0,0,0,,0,0,1,0,,,0,0,,0,,0,,1,2,0,,0,0,0,,0,0,1,0,0,0,0,1,,,0,,0,0,,0,,0,,,0,0,,0,1,0
"3/13/2029",,0,0,1,,0,0,0,0,,0,,0,1,,0,2,,0,0,1,0,,0,1,0,0,,,0,0,,1,,0,,0,0,0,,0,0,0,,0,0,1,0,0,0,0,0,,,0,,0,0,,0,,0,,,1,0,,0,0,1
"3/14/2029",,0,0,0,,0,2,2,0,,0,,0,1,,2,1,,0,0,1,0,,0,0,0,0,,,0,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,0,1,0,0,1,,,0,,1,1,,0,,0,,,0,0,,0,1,0
"3/15/2029",,0,0,1,,0,0,0,0,,0,,0,0,,1,2,,0,0,2,0,,0,0,0,0,,,0,0,,0,,0,,0,0,0,,1,0,1,,0,0,1,0,0,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,1,0
"3/16/2029",,0,0,0,,0,1,0,0,,0,,1,0,,0,1,,0,0,2,0,,1,0,0,0,,,0,1,,0,,0,1,3,0,0,,0,0,1,,0,0,3,0,2,0,0,1,,,0,,0,1,,0,,0,,,1,1,,0,0,0
"3/17/2029",,0,0,0,,0,0,0,0,,0,,0,2,,0,0,,0,0,0,1,,1,0,0,1,,,0,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,1,0,0,,,0,,1,1,,0,,0,,,0,0,,0,0,0
"3/18/2029",,0,0,1,,0,1,0,0,,0,,0,0,,0,1,,0,0,0,1,,0,0,0,0,,,0,0,,0,,0,1,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,0,1
"3/19/2029",,0,0,0,,0,0,1,0,,0,,0,0,,2,1,,0,0,0,0,,0,0,0,0,,,0,1,,0,,0,2,0,0,0,,0,0,0,,0,0,0,0,2,0,0,1,,,0,,0,0,,0,,0,,,0,0,,0,0,0
"3/20/2029",,0,0,1,,0,0,0,0,,0,,0,0,,0,0,,0,0,2,0,,0,0,1,0,,,0,0,,0,,2,0,0,0,0,,0,0,0,,0,0,0,0,1,0,0,0,,,0,,0,0,,0,,2,,,1,0,,0,0,1
"3/21/2029",,0,1,1,,0,1,0,0,,0,,0,0,,0,2,,0,0,1,1,,0,0,1,1,,,0,0,,0,,0,1,0,2,0,,0,1,1,,0,0,1,3,1,0,5,0,,,0,,0,0,,0,,0,,,0,0,,0,0,2
"3/22/2029",,0,0,0,,1,0,1,0,,0,,0,0,,0,2,,0,0,1,2,,0,0,1,0,,,0,0,,1,,1,2,0,1,0,,0,0,0,,0,0,0,1,1,0,1,0,,,0,,0,0,,1,,0,,,0,1,,0,2,0
"3/23/2029",,0,0,1,,1,2,0,0,,0,,0,0,,0,2,,0,0,0,0,,1,0,2,0,,,0,0,,0,,0,1,1,0,0,,0,0,0,,0,0,0,1,2,0,0,0,,,0,,0,0,,0,,0,,,0,0,,0,0,0
"3/24/2029",,0,0,1,,1,0,0,0,,0,,0,1,,2,0,,0,0,0,0,,0,0,0,0,,,0,0,,0,,0,2,0,0,0,,0,0,0,,0,0,1,1,0,0,1,2,,,0,,0,1,,0,,0,,,0,0,,0,1,0
"3/25/2029",,0,0,2,,0,0,0,1,,0,,0,0,,0,0,,0,0,2,0,,0,0,0,0,,,0,0,,1,,0,0,0,1,0,,0,1,0,,0,0,0,0,1,0,1,0,,,0,,0,0,,0,,0,,,0,0,,1,0,0
"3/26/2029",,0,0,1,,1,0,0,0,,0,,0,1,,0,2,,0,0,0,1,,0,0,1,0,,,0,0,,0,,0,1,1,0,0,,0,0,0,,0,0,0,0,0,1,0,0,,,1,,0,1,,0,,0,,,0,0,,0,0,0
"3/27/2029",,0,0,0,,1,3,2,0,,0,,0,0,,0,0,,2,0,0,1,,0,0,2,0,,,1,1,,0,,0,1,0,0,0,,0,0,0,,0,0,0,2,1,0,3,0,,,0,,1,1,,0,,2,,,0,0,,0,0,0
"3/28/2029",,0,0,0,,1,0,0,0,,0,,0,2,,0,0,,0,0,2,0,,0,1,0,0,,,0,0,,0,,0,0,1,1,1,,0,0,0,,0,0,0,1,0,0,1,0,,,1,,1,0,,1,,0,,,0,0,,0,1,0
"3/29/2029",,0,0,1,,1,0,1,0,,0,,0,0,,2,0,,0,0,0,0,,0,0,1,0,,,0,1,,0,,0,0,0,1,0,,0,0,1,,0,0,0,1,0,0,2,0,,,0,,0,0,,0,,0,,,0,1,,0,1,0
"3/30/2029",,0,0,0,,0,0,0,0,,0,,0,0,,1,1,,1,0,0,0,,0,0,0,2,,,0,0,,1,,0,1,0,0,0,,0,1,0,,1,0,1,1,0,1,1,0,,,0,,0,1,,0,,0,,,0,0,,0,0,1
"3/31/2029",,0,1,0,,0,0,1,0,,0,,0,0,,0,3,,0,0,2,0,,0,0,2,0,,,1,1,,0,,1,0,0,0,0,,0,1,0,,0,0,0,1,0,0,3,0,,,0,,0,0,,0,,0,,,0,0,,0,0,1
"4/1/2029",,0,0,0,0,0,0,1,0,,0,,0,1,,0,0,,0,0,1,0,,0,0,0,0,,,0,0,,0,,1,1,0,1,0,,0,0,0,,0,0,0,0,2,0,0,1,,,0,,1,0,,1,,0,,,1,0,,0,0,0
"4/2/2029",,0,1,0,1,0,1,0,0,,0,,0,1,,0,0,,1,0,1,1,,0,0,1,0,,,1,1,,0,,0,1,0,1,0,,0,0,0,,0,0,1,2,0,1,1,0,,,0,,0,0,,0,,1,,,0,0,,0,0,2
"4/3/2029",,0,0,0,0,1,1,0,0,,0,,1,3,,0,1,,0,0,2,0,,0,0,0,0,,,0,1,,0,,1,0,1,0,0,,0,1,0,,1,0,2,0,0,1,1,0,,,1,,1,0,,1,,0,,,0,1,,1,1,0
"4/4/2029",,0,0,0,0,0,0,0,0,,0,,0,1,,0,1,,0,0,0,0,,0,0,1,0,,,0,0,,0,,1,2,0,0,0,,1,0,1,,0,0,1,3,0,0,0,0,,,1,,0,0,,0,,0,,,0,0,,0,1,0
"4/5/2029",,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,0,2,0,,0,0,0,0,,,0,0,,0,,0,0,0,0,0,,0,0,1,,0,0,0,5,2,1,0,0,,,1,,1,0,,0,,0,,,0,0,,0,0,0
"4/6/2029",,0,0,0,1,0,1,0,0,,0,,0,0,,0,0,,0,0,0,0,,0,0,2,0,,,0,0,,0,,3,2,0,0,0,,0,0,0,,0,0,0,0,0,0,5,0,,,0,,0,1,,0,,0,,,0,0,,0,0,0
"4/7/2029",,0,2,0,0,0,0,0,0,,0,,0,0,,1,0,,0,0,0,0,,0,0,1,0,,,0,1,,0,,0,3,1,0,0,,0,0,0,,0,0,0,0,1,0,1,0,,,0,,0,1,,1,,0,,,0,0,,1,3,3
"4/8/2029",,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,1,0,0,1,,0,1,1,0,,,1,0,,0,,1,4,0,0,0,,0,0,0,,0,0,0,0,0,0,2,0,,,0,,1,0,,0,,0,,,0,0,,0,0,0
"4/9/2029",,0,0,0,0,0,0,0,0,,0,,0,1,,0,0,,0,0,1,0,,0,0,0,0,,,0,0,,0,,0,3,0,0,0,,0,0,0,,0,0,1,0,0,0,0,0,,,1,,0,0,,0,,0,,,0,0,,0,0,0
"4/10/2029",,0,0,0,0,0,0,0,0,,0,,0,0,,0,1,,0,0,2,0,,0,0,2,0,,,0,0,,0,,0,1,1,1,0,,0,0,0,,0,0,1,1,0,0,1,0,,,0,,1,0,,0,,0,,,0,0,,0,0,1
"4/11/2029",,0,0,0,0,0,0,0,0,,0,,0,1,,0,1,,0,0,1,1,,0,0,0,0,,,1,0,,0,,0,1,0,2,0,,1,0,2,,0,1,0,3,0,1,1,0,,,0,,0,0,,1,,0,,,1,0,,0,0,1
